,Temp,Precip,flow
1997-05-17 00:00:00+00:00,81.68045454545455,0.0,76.0
1997-05-18 00:00:00+00:00,74.04166666666667,0.0,82.0
1997-05-19 00:00:00+00:00,70.00125,0.0,87.0
1997-05-20 00:00:00+00:00,64.876875,0.0,108.0
1997-05-21 00:00:00+00:00,69.49958333333333,0.0,121.0
1997-05-22 00:00:00+00:00,68.16625,0.0,125.0
1997-05-23 00:00:00+00:00,72.45791666666666,0.0,128.0
1997-05-24 00:00:00+00:00,72.77227272727272,0.0,124.0
1997-05-25 00:00:00+00:00,71.00357142857142,0.0,117.0
1997-05-26 00:00:00+00:00,71.20916666666666,0.0,112.0
1997-05-27 00:00:00+00:00,72.99625,0.0,105.0
1997-05-28 00:00:00+00:00,77.74958333333333,0.0,94.0
1997-05-29 00:00:00+00:00,80.24833333333333,0.0,89.0
1997-05-30 00:00:00+00:00,83.28285714285714,0.0,83.0
1997-05-31 00:00:00+00:00,82.95708333333333,0.0,80.0
1997-06-01 00:00:00+00:00,82.90681818181818,0.0,79.0
1997-06-02 00:00:00+00:00,81.46041666666666,0.0,72.0
1997-06-03 00:00:00+00:00,79.79208333333334,0.0,79.0
1997-06-04 00:00:00+00:00,78.04208333333334,0.0,69.0
1997-06-05 00:00:00+00:00,75.16541666666667,0.0,60.0
1997-06-06 00:00:00+00:00,73.78958333333334,0.0,61.0
1997-06-07 00:00:00+00:00,66.29416666666667,0.0,74.0
1997-06-08 00:00:00+00:00,65.66458333333334,0.0,97.0
1997-06-09 00:00:00+00:00,73.08375,0.0,106.0
1997-06-10 00:00:00+00:00,77.70541666666666,0.0,99.0
1997-06-11 00:00:00+00:00,75.62416666666667,0.0,83.0
1997-06-12 00:00:00+00:00,78.26533333333333,0.0,76.0
1997-06-13 00:00:00+00:00,74.83416666666666,0.0,65.0
1997-06-14 00:00:00+00:00,72.37541666666667,0.0,62.0
1997-06-15 00:00:00+00:00,67.45875,0.0,72.0
1997-06-16 00:00:00+00:00,70.64529411764705,0.0,74.0
1997-06-17 00:00:00+00:00,80.54,0.0,79.0
1997-06-18 00:00:00+00:00,85.00130434782609,0.0,67.0
1997-06-19 00:00:00+00:00,83.689375,0.0,62.0
1997-06-20 00:00:00+00:00,83.53466666666667,0.0,63.0
1997-06-21 00:00:00+00:00,76.68157894736842,0.0,69.0
1997-06-22 00:00:00+00:00,80.18272727272728,0.0,67.0
1997-06-23 00:00:00+00:00,80.04208333333334,0.0,56.0
1997-06-24 00:00:00+00:00,79.4175,0.0,56.0
1997-06-25 00:00:00+00:00,79.66625,0.0,53.0
1997-06-26 00:00:00+00:00,77.71285714285715,0.0,52.0
1997-06-27 00:00:00+00:00,78.0,0.0,45.0
1997-06-28 00:00:00+00:00,79.82916666666667,0.0,52.0
1997-06-29 00:00:00+00:00,78.665,0.0,53.0
1997-06-30 00:00:00+00:00,76.61666666666667,0.0,49.0
1997-07-01 00:00:00+00:00,78.16583333333334,0.0,50.0
1997-07-02 00:00:00+00:00,80.78260869565217,0.0,46.0
1997-07-03 00:00:00+00:00,83.74875,0.0,51.0
1997-07-04 00:00:00+00:00,83.47428571428571,0.0,45.0
1997-07-05 00:00:00+00:00,84.83166666666666,0.0,48.0
1997-07-06 00:00:00+00:00,87.28833333333334,0.0,55.0
1997-07-07 00:00:00+00:00,84.58333333333333,0.0,52.0
1997-07-08 00:00:00+00:00,82.79041666666667,0.0,41.0
1997-07-09 00:00:00+00:00,83.08375,0.0,42.0
1997-07-10 00:00:00+00:00,84.95833333333333,0.0,36.0
1997-07-11 00:00:00+00:00,82.66666666666667,0.0,42.0
1997-07-12 00:00:00+00:00,80.50045454545455,0.0,44.0
1997-07-13 00:00:00+00:00,91.45363636363636,0.0,43.0
1997-07-14 00:00:00+00:00,83.29208333333334,0.0,44.0
1997-07-15 00:00:00+00:00,89.70625,0.0,35.0
1997-07-16 00:00:00+00:00,91.45958333333334,0.0,42.0
1997-07-17 00:00:00+00:00,85.84157894736842,0.0,38.0
1997-07-18 00:00:00+00:00,89.61952380952381,0.0,36.0
1997-07-19 00:00:00+00:00,84.58375,0.0,39.0
1997-07-20 00:00:00+00:00,80.95142857142858,0.0,47.0
1997-07-21 00:00:00+00:00,78.16666666666667,0.0,52.0
1997-07-22 00:00:00+00:00,78.91434782608695,0.0,48.0
1997-07-23 00:00:00+00:00,81.08826086956522,0.0,58.0
1997-07-24 00:00:00+00:00,80.47368421052632,0.0,59.0
1997-07-25 00:00:00+00:00,63.00333333333333,0.0,57.0
1997-07-26 00:00:00+00:00,,0.0,60.0
1997-07-27 00:00:00+00:00,,0.0,63.0
1997-07-28 00:00:00+00:00,73.99,0.0,64.0
1997-07-29 00:00:00+00:00,,0.0,55.0
1997-07-30 00:00:00+00:00,,0.0,58.0
1997-07-31 00:00:00+00:00,97.66666666666667,0.0,51.0
1997-08-01 00:00:00+00:00,83.45409090909091,0.0,48.0
1997-08-02 00:00:00+00:00,86.54772727272727,0.0,64.0
1997-08-03 00:00:00+00:00,80.38076923076923,0.0,67.0
1997-08-04 00:00:00+00:00,78.77272727272727,0.0,88.0
1997-08-05 00:00:00+00:00,77.49909090909091,0.0,111.0
1997-08-06 00:00:00+00:00,79.00043478260869,0.0,128.0
1997-08-07 00:00:00+00:00,86.27181818181818,0.0,113.0
1997-08-08 00:00:00+00:00,85.9175,0.0,101.0
1997-08-09 00:00:00+00:00,77.52142857142857,0.0,96.0
1997-08-10 00:00:00+00:00,81.41666666666667,0.0,105.0
1997-08-11 00:00:00+00:00,83.79041666666667,0.0,105.0
1997-08-12 00:00:00+00:00,84.00095238095238,0.0,127.0
1997-08-13 00:00:00+00:00,84.42571428571429,0.0,119.0
1997-08-14 00:00:00+00:00,81.33291666666666,0.0,150.0
1997-08-15 00:00:00+00:00,72.08333333333333,0.0,133.0
1997-08-16 00:00:00+00:00,74.87708333333333,0.0,142.0
1997-08-17 00:00:00+00:00,80.91458333333334,0.0,194.0
1997-08-18 00:00:00+00:00,75.70916666666666,0.0,282.0
1997-08-19 00:00:00+00:00,83.5825,0.0,208.0
1997-08-20 00:00:00+00:00,84.58416666666666,0.0,153.0
1997-08-21 00:00:00+00:00,82.855,0.0,120.0
1997-08-22 00:00:00+00:00,86.09333333333333,0.0,115.0
